"","growth"
"X1201715258",0.846499168664961
"X1201715259",0.808571771852335
"X1201715260",0.851364073459734
"X1201715261",0.134564825363194
"X1201715262",0.124552326862469
"X1201715264",0.153008060011991
"X1201715265",0.132917410236638
"X1201715266",0.134254973808544
"X1201715267",0.127214008260913
"X1201715268",0.843950359975814
"X1201715269",0.117866910044764
"X1201715270",0.122049408204543
"X1201715271",0.122286770862929
"X1201710308",0.120503505714699
"X1201710314",0.126430864743101
"X1201710328",0.837626324140056
"X1201710329",0.119040734835795
"X1201710337",0.127125552711661
"X1201715272",0.122720197156455
"X1201715273",0.849330767864894
"X1201715274",0.124148194628358
"X1201715276",0.110036337652047
"X1201715277",0.163810446992004
"X1201715278",0.116576296392067
"X1201715280",0.865382757799347
"X1201715281",0.127204637324015
"X1201715283",0.831776416552302
"X1201715284",0.122229147712139
"X1201710732",0.666347267065618
"X1201710734",0.112273730381502
"X1201710737",0.118241563708096
"X1201710740",0.11966327390968
"X1201710741",0.812187369913049
"X1201715285",0.129721706313292
"X1201715286",0.126496763884524
"X1201715288",0.126605043123655
"X1201715289",0.122986978780072
"X1201715290",0.126289858643771
"X1201715291",0.127676505435467
"X1201715293",0.136725686137156
"X1201715294",0.117472257275852
"X1201715295",0.124159894889832
"X1201715298",0.823194477675504
"X1201715299",0.836766974584809
"X1201715300",0.121720663117516
"X1201715302",0.127162259172693
"X1201715303",0.150824063174742
"X1201715304",0.814185839210519
"X1201715305",0.12893924352404
"X1201715306",0.884279891657422
"X1201715307",0.125252609956979
"X1201715308",0.135184816595099
"X1201715309",0.129392427139545
"X1201715311",0.127033662790483
"X1201715312",0.128837692848892
"X1201715314",0.123534630324061
"X1201715316",0.121988457520512
"X1201715317",0.126781960693411
"X1201715318",0.136155034908535
"X1201715320",0.124338115539055
"X1201715321",0.127800524291056
"X1201715322",0.138171715858749
"X1201715323",0.840941056312902
"X1201715324",0.126232347871605
"X1201715325",0.119655950331852
"X1201715326",0.127722751812165
"X1201715327",0.120444200202077
"X1201715328",0.124124583349069
"X1201715329",0.131532716481851
"X1201715330",0.133794148032223
"X1201715331",0.117717987640858
"X1201715334",0.119489104752368
"X1201715335",0.126230820060388
"X1201715337",0.125275765087503
"X1201715338",0.12496259227233
"X1201715339",0.812290635668684
"X1201715340",0.830644184852108
"X1201715341",0.12127603751318
"X1201715342",0.822490079723297
"X1201715343",0.117105863528172
"X1201715346",0.128914206781953
"X1201715347",0.126286608722606
"X1201715349",0.120097222806072
"X1201710743",0.849013630107557
